累死	1563
证明	1560
这话	1560
孩纸	1559
呜	1558
特	1557
睡醒	1556
以	1554
勒	1552
五	1551
出发	1550
活	1549
感谢	1548
楼下	1547
比如	1546
建议	1545
撸	1544
安全	1539
粉	1538
火车	1537
兴奋	1536
人民	1532
刚好	1532
吃货	1532
等等	1531
男生	1530
破	1530
逛街	1527
白	1524
强	1522
单身	1522
一只	1522
心疼	1520
事实	1519
开玩笑	1514
内	1514
周五	1513
关	1513
或	1508
地址	1504
不少	1502
轻松	1501
研究	1500
年纪	1498
逛	1489
罗	1481
想着	1479
哪天	1479
咋样	1474
踢	1471
爸	1468
认为	1468
改变	1467
蚊子	1463
锻炼	1460
瞎	1457
身上	1457
说好	1456
伤	1455
鸡	1451
咦	1451
上火	1451
爬	1450
有时	1450
长大	1449
重庆	1447
房子	1446
野	1446
上去	1446
辣	1445
新闻	1444
经验	1443
表情	1442
搭	1442
就系	1441
没法	1440
买个	1438
上午	1437
安	1436
红	1436
小说	1432
训	1432
两次	1432
一周	1432
偷	1430
懒得	1429
养	1428
自由	1425
小朋友	1420
高中	1420
短信	1419
信息	1419
照	1417
之类	1416
哩	1415
赚	1414
神	1410
分享	1408
不起	1405
中意	1405
点儿	1405
未来	1404
醉	1402
免费	1402
复杂	1401
赞	1401
觉	1397
撞	1396
叔叔	1392
蛋糕	1389
踩	1388
韩国	1386
带上	1385
烧	1385
泡	1384
上面	1382
演唱会	1382
路过	1381
块	1379
看不到	1379
师傅	1378
放松	1377
我怕	1375
活着	1375
蛋	1374
好意思	1372
合适	1371
咖啡	1371
我点	1370
直播	1370
一堆	1369
承认	1366
歌词	1366
回头	1366
对面	1364
珍惜	1363
熬	1363
馀	1362
文化	1362
爸妈	1360
秘密	1359
没到	1357
位置	1354
四个	1354
弟弟	1349
碰到	1348
半天	1347
贱	1347
砸	1346
烦躁	1344
七点	1342
同乐	1342
失恋	1342
似的	1341
冻	1341
莫	1340
好人	1339
经历	1337
岁	1333
酒店	1332
礼拜	1330
交	1329
社会	1328
强大	1328
到处	1328
害怕	1327
收拾	1326
学期	1324
周一	1322
啥意思	1319
不怎么	1319
崩溃	1319
不住	1317
嫁	1314
过敏	1314
看好	1312
属于	1312
多喝水	1312
方法	1311
拖	1310
广告	1310
一会儿	1310
做到	1308
撑	1307
高考	1305
一场	1305
啥事	1304
国庆	1301
游泳	1300
赶快	1298
价格	1297
大爷	1296
搞定	1296
吵	1296
堵	1296
啵	1295
个个	1295
下载	1294
帅	1293
提醒	1292
识	1291
图书馆	1289
火锅	1287
懒	1285
看吧	1283
国内	1283
力	1283
第一个	1280
太好了	1278
六点	1277
毕竟	1276
错过	1275
查	1274
暖	1273
青春	1273
随时	1272
仲	1272
怎么回事	1271
现场	1269
为何	1268
画	1267
跟着	1267
曾经	1267
个头	1267
宵夜	1267
周	1266
辞职	1266
不信	1266
系统	1264
代表	1264
脑子	1264
想象	1264
大姨妈	1263
一块	1263
蹭	1261
赚钱	1261
门口	1261
狠	1260
日日	1260
乃	1258
周日	1257
另	1257
回事	1257
另外	1257
帮忙	1257
能力	1255
宅	1254
理由	1254
快递	1252
球	1251
恋爱	1251
几号	1251
火	1250
到家	1250
检查	1248
啊哈	1247
春天	1246
再见	1241
鱼	1239
一把	1236
热水	1235
几年	1235
女儿	1234
发泄	1234
跑步	1233
奶奶	1232
机场	1228
对于	1227
风	1226
数学	1225
一点点	1225
玩玩	1222
嫌弃	1222
打击	1220
没想到	1220
忍	1218
屌丝	1218
当年	1217
八卦	1216
吼吼	1216
烧烤	1215
摔	1214
学会	1212
我能	1211
某	1210
存在	1209
全	1206
报名	1206
慢慢来	1206
替	1205
闲	1204
吃饱	1204
重新	1203
无所谓	1202
翻来	1201
保持	1201
想念	1200
凉快	1200
笨	1197
满足	1197
情绪	1196
环境	1196
两年	1196
所	1192
嘿	1191
银行	1191
多么	1189
五点	1189
烂	1188
适应	1188
惊	1186
无语	1185
指	1183
乖乖	1183
尽量	1183
一顿	1182
更新	1181
真正	1181
搜	1180
感	1179
不理	1179
西安	1177
对象	1176
吓人	1170
答案	1169
全是	1169
加上	1168
睡眠	1168
晚点	1167
迟	1165
表现	1163
